field_name,easy_name,description
EstimateNumber_HOUSEHOLD_INCOME_All_households,total_households,Total number of households
EstimateNumber_HOUSEHOLD_INCOME_All_households_With_earnings,households_with_earnings,Households with earnings from any source
EstimateNumber_HOUSEHOLD_INCOME_All_households_With_earnings_With_wages_or_salary_income,households_with_wages_salary,Households with wage or salary income
EstimateNumber_HOUSEHOLD_INCOME_All_households_With_earnings_With_self_employment_income,households_with_self_employment,Households with self-employment income
EstimateNumber_HOUSEHOLD_INCOME_All_households_With_interest_dividends_or_net_rental_income,households_with_investment_income,"Households with income from interest, dividends, or rental income"
EstimateNumber_HOUSEHOLD_INCOME_All_households_With_Social_Security_income,households_with_social_security,Households receiving Social Security income
EstimateNumber_HOUSEHOLD_INCOME_All_households_With_Supplemental_Security_Income_SSI,households_with_ssi,Households receiving Supplemental Security Income (SSI)
EstimateNumber_HOUSEHOLD_INCOME_All_households_With_cash_public_assistance_income_or_Food_Stamps_SNAP,households_with_public_assistance_or_snap,Households with cash public assistance or SNAP benefits
EstimateNumber_HOUSEHOLD_INCOME_All_households_With_cash_public_assistance_income_or_Food_Stamps_SNAP_With_cash_public_assistance,households_with_cash_public_assistance,Households with cash public assistance income
EstimateNumber_HOUSEHOLD_INCOME_All_households_With_retirement_income,households_with_retirement_income,Households receiving retirement income
EstimateNumber_HOUSEHOLD_INCOME_All_households_With_other_types_of_income,households_with_other_income,Households receiving other types of income
EstimateNumber_FAMILY_INCOME_BY_NUMBER_OF_WORKERS_IN_FAMILY_All_families,total_families,Total number of families
EstimateNumber_FAMILY_INCOME_BY_NUMBER_OF_WORKERS_IN_FAMILY_All_families_No_workers,families_no_workers,Families with no workers
EstimateNumber_FAMILY_INCOME_BY_NUMBER_OF_WORKERS_IN_FAMILY_All_families_1_worker,families_one_worker,Families with one worker
EstimateNumber_FAMILY_INCOME_BY_NUMBER_OF_WORKERS_IN_FAMILY_All_families_2_workers_both_spouses_worked,families_two_workers_both_spouses,"Families with two workers, both spouses worked"
EstimateNumber_FAMILY_INCOME_BY_NUMBER_OF_WORKERS_IN_FAMILY_All_families_2_workers_other,families_two_workers_other,"Families with two workers, other arrangement"
