category_city,top_positive_keywords,top_negative_keywords,top_positive_coefs,top_negative_coefs,mse
African & Caribbean Cuisine - Austin,"ethiopian, combo, leyu, flavor, service outstanding, flavorful, everything, coming, injera, spice","rolands, lady, nigerian, omg, jollof, tailat, oxtail, meatloaf, cooked, rice","0.7981543591261843, 0.465250773871332, 0.4296038121787831, 0.3567671974976222, 0.3551551962191695, 0.33827371268982315, 0.3088251868677034, 0.2976707914318178, 0.2929309950018718, 0.28982346289876004","-0.831717942744807, -0.43004841178041536, -0.4139808045543305, -0.3933493309481303, -0.3840629279736526, -0.3782709729681495, -0.37480228271494775, -0.3706581652674988, -0.3550117979804336, -0.34968531434439687",0.08540614261711466
African & Caribbean Cuisine - Chicago,"ethiopian, combo, injera, michuu, highly, free, world, owner, everything, vegan","dans, taco, cashier, burger, alfredo, counter, skin, attitude, never, roast","1.379497876176261, 1.0043536513622633, 0.9647205840818238, 0.9643238064345003, 0.8584239581099475, 0.841392675962893, 0.8222168791757297, 0.7915096512032715, 0.7792464180777098, 0.7274035624700975","-2.2227593015809926, -1.5800383628151067, -1.3866529646129122, -1.0921635758124268, -1.0277945481821764, -1.02758785268905, -0.9112804248307471, -0.8806208369932964, -0.858651162313492, -0.8561071108118671",0.28202462479673895
African & Caribbean Cuisine - LosAngeles,"shay, caribbean, ethiopian, roll, environment, roti, oxtail stew, dish, market, fry","patty, cocktail, mac, dressing, donna, night, granny, oven, overcooked, received","0.8298139988721638, 0.5914932443768536, 0.5309697230646696, 0.4496962340723871, 0.4281984296302952, 0.4277089796151349, 0.4098706277475734, 0.39721928818476715, 0.38223193079345075, 0.3758676743920737","-0.6716347395310355, -0.6028575472056125, -0.5461611342456428, -0.5176974071086147, -0.5037004957303801, -0.48497520873814715, -0.4793292529528033, -0.4786569241941863, -0.47226053384667194, -0.4588711829050921",0.12929313833404205
African & Caribbean Cuisine - NewYork,"ethiopian, combo, cornbread, lunch, neighborhood, injera, bamboo, diamond, kind, incredible","pay, nasty, disgusting, employee, roti, owner, bug, rude, double, doesnt","1.019774101530446, 0.5816022810079635, 0.5650197022914966, 0.5413370719371736, 0.51721746003329, 0.5093540534786604, 0.5074550955809369, 0.4983439371245893, 0.46831162426675144, 0.4518797138149516","-0.9978308262362314, -0.9540737567108464, -0.8936236834386422, -0.6690408642063465, -0.6354960441425177, -0.6095628854079418, -0.6009386293609028, -0.5882994342481388, -0.5877344555101018, -0.5873775795763757",0.33089992122165557
American & Fast Food - Austin,"burger, austin, server, innout, dish, brunch, tip, dans, chandra, chef","kfc, mcdonalds, arbys, wendys, rude, burger king, homeless, king, drive, church","1.5964986301049955, 1.096503396448826, 0.970073785811308, 0.9497461810989126, 0.917343668853436, 0.8795334760927958, 0.8639394826653153, 0.8362322027154688, 0.8067167609869601, 0.7815842153484882","-2.2473506363620377, -2.2382680142304863, -1.2618374881645886, -1.196936201007417, -1.0125396612678235, -1.0104520206725491, -0.9964298090520026, -0.9874053305838043, -0.9805200534654963, -0.9342116222993071",0.3633337568228616
American & Fast Food - Chicago,"donut, gas station, reservation, brunch, lula, steak sandwich, nickys, smoothy, dish, owner","wendys, mcdonalds, frosty, taco bell, bell, popeyes, harolds, nugget, drive, drivethru","0.9342129939373256, 0.8275179297646901, 0.793964259442443, 0.7929878079957883, 0.7725323211352495, 0.7684990021994803, 0.7249170064376869, 0.7148704299744585, 0.7138449585698748, 0.7081844296284198","-3.1161198717722027, -1.7522724552636981, -1.594554535897221, -1.4958762407605177, -1.4477078702690958, -1.4354941146360785, -1.4206677998154662, -1.3607226950821578, -1.3219565984408477, -1.1359217046917007",0.2860897936442106
American & Fast Food - LosAngeles,"innout, owner, burger, donut, reservation, hot chicken, korean, smashburger, double double, teriyaki","mcdonalds, popeyes, wingstop, bww, happy meal, mc, big mac, kiosk, gratuity, mcdonald","1.288905479794568, 1.0799366507624761, 0.96214347858318, 0.8721449695442448, 0.8357852881457024, 0.8051954469034894, 0.759555767601121, 0.7451491075448895, 0.7282531266227801, 0.7279352267921376","-2.411361438377637, -1.9538302790924666, -1.5678086269258777, -1.5134492246648905, -1.3894009607164146, -1.2600680706640583, -1.1896631024496682, -1.106660464113764, -1.0448764239319879, -0.9963332465393956",0.31260027028787685
American & Fast Food - NewYork,"burger, dog, pastrami, happy hour, owner, brunch, highly, neighborhood, jani, menu","mcdonalds, wendys, drive, wingstop, kfc, drivethru, machine, kiosk, nugget, burger king","1.1279978142889393, 0.9819418331207335, 0.9815928829282519, 0.8620850573067674, 0.8183448975479518, 0.8003495813772962, 0.7548564045821989, 0.7303027776534275, 0.7172432815605042, 0.7060732927534852","-2.3768119690705034, -2.2688382928244657, -1.6825080245492698, -1.3676700352828468, -1.187423131713536, -1.1854994267873298, -1.17903828303634, -1.1285700882203487, -1.1096049628005786, -1.1061989891912964",0.373051941090966
Asian Cuisine - Austin,"indonesian, austin, uchi, reservation, sushi, fish, server, omakase, small, mi","buffet, rude, cold, michi, old, hibachi, roach, dirty, fire bowl, imagine","0.6366128023513645, 0.5317491747112402, 0.5243545164525295, 0.5034331961299857, 0.499104528273238, 0.4726246791510109, 0.43322449429044774, 0.4264593998774797, 0.4209062019721701, 0.40447372827005795","-1.3734046809853087, -0.8322618541103683, -0.7923695427247179, -0.7117859805859061, -0.5777102183631851, -0.5357157140995664, -0.5300800866841642, -0.5094530424024841, -0.5037590137414232, -0.49778349871046607",0.18577339916626057
Asian Cuisine - Chicago,"ting, anna, shame, curry puff, bibimbap, yelp, cash, danny, simon, money worth","nickys, ron, ron japan, buffet, hibachi, began, filet, siri, threw away, edible","1.1486751691583823, 1.1001225721897614, 0.9936456451443575, 0.9598950242959281, 0.9213436014217855, 0.9136773396827346, 0.9094563532354063, 0.8821369113670449, 0.8738510737474694, 0.8650490805633784","-3.2886628129795867, -1.8687825587431965, -1.715224239176845, -1.56058942231967, -1.5545936399303664, -1.3646086326157183, -1.3564092040579756, -1.2975572287613852, -1.2888209396866892, -1.2709327482218882",0.21214761616600158
Asian Cuisine - LosAngeles,"eduardo, omakase, ramen, katsu, soba, yubu, japanese, uni, cute, soondae","panda, location, cashier, drive thru, manager, attitude, express, rude, thru, nasty","0.5863130665887324, 0.5003555566025565, 0.4804537853329337, 0.47539261364942087, 0.4632525938772378, 0.45239539628088765, 0.43623025441440194, 0.39984776304310554, 0.3994976636896745, 0.3929824675612781","-1.7907501106144692, -0.6293050725523572, -0.6119871595258616, -0.602924784551794, -0.5899062059953363, -0.5330409989761292, -0.5289042954865153, -0.5188969174595991, -0.5040692531230928, -0.47966630593258586",0.20529022472642086
Asian Cuisine - NewYork,"omakase, hotpot, korean, thai, ramen, rice roll, bing, pasta, chef, crab fried","disgusting, rude, bondi, belt, panda, nasty, broccoli, pandemic, egg roll, trash","0.9457183564701898, 0.7667464848573273, 0.7604291140906021, 0.6088599714405194, 0.5832174285115035, 0.5405023246479633, 0.5365436544454386, 0.536073616169787, 0.5297379674957337, 0.5101851025393115","-0.7809829602032458, -0.7364142479080146, -0.73340064805633, -0.6845873025669611, -0.6718830392228894, -0.6516124799971349, -0.6175410817955731, -0.5533535749373428, -0.5495581070626819, -0.5429214634136951",0.19830371353458648
