City_Category,Topic,Coefficient,Sentiment,Words,topic_words
American & Fast Food - Austin,0,0.1661139589075771,Positive,"[('food', 0.03779295634410462), ('great', 0.033963710286666934), ('good', 0.026106425522233564), ('service', 0.02542561966926729), ('place', 0.020165088576986744), ('staff', 0.017231862043115054), ('amazing', 0.017074597622064758), ('friendly', 0.016707745589913076), ('delicious', 0.015510753960046912), ('nice', 0.015255278559409884)]","['food', 'great', 'good', 'service', 'place', 'staff', 'amazing', 'friendly', 'delicious', 'nice']"
American & Fast Food - Austin,1,0.15834246700469065,Positive,"[('burger', 0.056996175947375424), ('fries', 0.04630261839684211), ('burgers', 0.037315368219596544), ('good', 0.028136551527559714), ('great', 0.020148579033928547), ('food', 0.01776830933254105), ('place', 0.017294473964669946), ('like', 0.01695035755157041), ('just', 0.013724268206639042), ('time', 0.013684931882858067)]","['burger', 'fries', 'burgers', 'good', 'great', 'food', 'place', 'like', 'just', 'time']"
American & Fast Food - Austin,3,0.1520302958765545,Positive,"[('austin', 0.07501557512744443), ('great', 0.024356236008961613), ('best', 0.024272055651869545), ('place', 0.023882776662481717), ('food', 0.022929051195969875), ('burger', 0.020312036543945346), ('good', 0.01772337025011609), ('burgers', 0.016254580815098715), ('service', 0.014310421197157336), ('amazing', 0.014298266706689594)]","['austin', 'great', 'best', 'place', 'food', 'burger', 'good', 'burgers', 'service', 'amazing']"
American & Fast Food - Austin,12,0.12164255582860613,Positive,"[('brunch', 0.15697154047392706), ('great', 0.035153655146643835), ('food', 0.03079042137558527), ('sunday brunch', 0.027008991032897098), ('good', 0.026053198884987205), ('sunday', 0.025471687168484837), ('service', 0.025341743478964635), ('recommend', 0.024528508847767996), ('spot', 0.023932333089879645), ('delicious', 0.02262205440589243)]","['brunch', 'great', 'food', 'sunday brunch', 'good', 'sunday', 'service', 'recommend', 'spot', 'delicious']"
American & Fast Food - Austin,10,0.04490866114653827,Positive,"[('terrys', 0.1494773913839805), ('burger', 0.04174653032315284), ('burgers', 0.03240098561714561), ('love terrys', 0.03186356685268905), ('fries', 0.0317618196192213), ('pterrys', 0.02713583276743018), ('love', 0.023301278128809656), ('location', 0.022336667003364768), ('good', 0.02170586297776773), ('food', 0.021602201681552895)]","['terrys', 'burger', 'burgers', 'love terrys', 'fries', 'pterrys', 'love', 'location', 'good', 'food']"
American & Fast Food - Austin,2,-0.20189661042569151,Negative,"[('order', 0.04115353135852188), ('food', 0.02182123975467379), ('drive', 0.020695389093996694), ('minutes', 0.020291457560973187), ('just', 0.01959769362172614), ('time', 0.018382164001814895), ('said', 0.017962694410672726), ('told', 0.017211337450529867), ('asked', 0.016530965473560536), ('window', 0.016350623661304513)]","['order', 'food', 'drive', 'minutes', 'just', 'time', 'said', 'told', 'asked', 'window']"
American & Fast Food - Austin,6,-0.18512092197311567,Negative,"[('mcdonalds', 0.10371962361508931), ('order', 0.03363007437087396), ('wendys', 0.03182841017608079), ('food', 0.022985486762755206), ('service', 0.02106774081591719), ('drive', 0.01807604507951357), ('location', 0.01799105353668067), ('dont', 0.0178195350573364), ('just', 0.017266878806980464), ('like', 0.016877384379580463)]","['mcdonalds', 'order', 'wendys', 'food', 'service', 'drive', 'location', 'dont', 'just', 'like']"
American & Fast Food - Austin,9,-0.08907221978370973,Negative,"[('chickfila', 0.10397036907775685), ('fil', 0.05055799078169565), ('chick fil', 0.047496307998966064), ('chick', 0.04734715661414827), ('food', 0.03513989591555988), ('location', 0.026738773864211043), ('service', 0.023005765926763146), ('chicken', 0.021786067916648087), ('drive', 0.021508724328376607), ('love', 0.020898986368112795)]","['chickfila', 'fil', 'chick fil', 'chick', 'food', 'location', 'service', 'chicken', 'drive', 'love']"
American & Fast Food - Austin,11,-0.06285712322930304,Negative,"[('whataburger', 0.15336985631272204), ('food', 0.02961260115354104), ('location', 0.028483178159585943), ('order', 0.022780913185277345), ('good', 0.019389028554710863), ('service', 0.01899144195740229), ('ive', 0.018770149570527375), ('like', 0.01756484319277503), ('minutes', 0.01661487130371682), ('long', 0.016237034256688952)]","['whataburger', 'food', 'location', 'order', 'good', 'service', 'ive', 'like', 'minutes', 'long']"
American & Fast Food - Austin,7,-0.02778123238938161,Negative,"[('dq', 0.09509865949511312), ('blizzard', 0.0690460756348515), ('dairy', 0.058325199417572804), ('queen', 0.05560898568949633), ('dairy queen', 0.053967119992002696), ('blizzards', 0.030708721806661142), ('cream', 0.0298533949391938), ('ice cream', 0.029629847196684062), ('ice', 0.028014061137425855), ('mayfield', 0.023278593052290995)]","['dq', 'blizzard', 'dairy', 'queen', 'dairy queen', 'blizzards', 'cream', 'ice cream', 'ice', 'mayfield']"
